COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
VPM7237;2024-01-01;01:24:22;Queda;Ferido;Rua Guilherme Rocha;;Não informado;Centro;Não informado;-3.7250598003877577;-38.533954171343446;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2401010090;;;;
XGS9795;2024-01-02;22:00:00;Colisão;Ferido;AV GAL OSORIO DE PAIVA;;;SIQUEIRA;Estadual;-3.8275171736194773;-38.62436068752193;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;PEFOCE;XGS9795;;516823;;;
EDG7010;2024-01-04;14:31:28;Queda;Ferido;Gustavo Sampaio;Rua Conselheiro Alves;Cruzamento;Sao Gerardo;;-3.7347654;-38.5540863;Cruzamento;;Não informado;;Não informado;;SAMU;;2401040547;;;;
CWN6958;2024-01-05;17:19:41;Queda;Ferido;Beira Mar;;2800;Meireles;;-3.7256114;-38.4967202;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401050634;;;;
FGU6091;2024-01-06;20:37:07;Queda;Ferido;Beira Mar;;2290;Meireles;;-3.7248522;-38.5001068;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401060867;;;;
JJC2008;2024-01-07;07:55:53;Queda;Ferido;Beira Mar;;2727;Meireles;;-3.7259737;-38.4933713;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401070179;;;;
ABD8408;2024-01-07;10:41:42;Queda;Ferido;Avenida Beira Mar;;Não informado;Mucuripe;Não informado;-3.723085513654831;-38.48355909718273;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2401070268;;;;
APK1532;2024-01-07;11:01:17;Queda;Ferido;Rua Tiradentes;;340;Rodolfo Teofilo;;-3.743292899999999;-38.5477769;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401070285;;;;
TFY9923;2024-01-07;15:34:56;Queda;Ferido;Bernardo Manuel;;13020;Prefeito Jose Walter;;-3.8318952;-38.5613804;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401070482;;;;
DTQ1477;2024-01-07;18:52:49;Queda;Ferido;Beira Mar;;2300;Praia De Iracema;;-3.7250086;-38.5001566;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401070728;;;;
BMI6304;2024-01-07;20:57:08;Colisão;Ferido;Avenida Beira Mar;;Não informado;PRAIA DE IRACEMA;Municipal;-3.720006474011329;-38.51283982408941;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;BMI6304;2401070861;;;;
TIB7193;2024-01-08;16:39:05;Colisão;Ferido;Avenida Contorno Sul;;190;CONJUNTO ESPERANCA;Não informado;-3.816769380968979;-38.590736525163535;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2401080711;;;;
LHL3568;2024-01-09;19:15:25;Queda;Ferido;Beira Mar;Avenida Rui Barbosa;Cruzamento;Meireles;;-3.723035;-38.5051783;Cruzamento;;Não informado;;Não informado;;SAMU;;2401090844;;;;
IGA6534;2024-01-11;06:30:00;Colisão;Ferido;Avenida Maestro Lisboa;;20249;Lagoa Redonda;Estadual;-3.8077874;-38.4644123;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;IGA6534;2401110123;518526;;;
YIR1442;2024-01-11;10:26:05;Queda;Ferido;Doutor Theberge -;;2490;Alvaro Weyne;;-3.7241021;-38.5681266;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2401110317;;;;
