COD_ACIDENTE;VEÍCULO;TIPO VEÍCULO;MARCA;ANO FABRICAÇÃO;COR;ESPÉCIE;CATEGORIA;ALUGUEL;LEGALIZADO;DANIFICADO;MANOBRA;VIA DE ACESSO
VPM7237;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
XGS9795;.1;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;AV GAL OSORIO DE PAIVA
XGS9795;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Danificado;;AV GAL OSORIO DE PAIVA
EDG7010;.1;Bicicleta;;;;;;;Não informado;;;
CWN6958;.1;Bicicleta;;;;;;;Não informado;;;
FGU6091;.1;Bicicleta;;;;;;;Não informado;;;
JJC2008;.1;Bicicleta;;;;;;;Não informado;;;
ABD8408;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
APK1532;.1;Bicicleta;;;;;;;Não informado;;;
TFY9923;.1;Bicicleta;;;;;;;Não informado;;;
DTQ1477;.1;Bicicleta;;;;;;;Não informado;;;
BMI6304;.1;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
BMI6304;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Beira Mar
TIB7193;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
TIB7193;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
LHL3568;.1;Bicicleta;;;;;;;Não informado;;;
IGA6534;.1;Motocicleta;HONDA CG 150 TITAN;;;Não informado;Não informado;Não informado;Não informado;Danificado;;Maestro Lisboa
IGA6534;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Danificado;;Maestro Lisboa
YIR1442;.1;Bicicleta;;;;;;;Não informado;;;
DNA2634;.1;Bicicleta;;;;;;;Não informado;;;
ZTO8796;.1;Motocicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
ZTO8796;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
THJ3186;.1;Bicicleta;;;;;;;Não informado;;;
BRE1227;.1;Bicicleta;;;;;;;Não informado;;;
BRE1227;.2;Automóvel;;;;;;;Não informado;;;
GGU1973;.1;Bicicleta;;;;;;;Não informado;;;
FHT0672;.1;Bicicleta;;;;;;;Não informado;;;
GZG6069;.1;Bicicleta;;;;;;;Não informado;;;
PLZ7217;.1;Bicicleta;;;;;;;Não informado;;;
PLZ7217;.2;Automóvel;;;;;;;Não informado;;;
NDR3555;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NZB8953;.1;Bicicleta;;;;;;;Não informado;;;
NZB8953;.2;Automóvel;;;;;;;Não informado;;;
KLI1239;.1;Bicicleta;;;;;;;Não informado;;;
KLI1239;.2;Automóvel;;;;;;;Não informado;;;
NYR4444;.1;Caminhão;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NYR4444;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
AEO0857;.1;Bicicleta;;;;;;;Não informado;;;
HAZ5679;.1;Bicicleta;;;;;;;Não informado;;;
DZA5302;.1;Automóvel;FORD KA;2014;PRATA;Passageiro;Particular;Não Se Aplica;Não informado;Danificado;ENTRANDO E SAINDO DA VIA;Rua Custódio de Melo
DZA5302;.2;Bicicleta;;;;Carga;Não informado;Não informado;Não informado;Danificado;CIRCULANDO;RUA PAULO SETUBAL
UGM8086;.1;Bicicleta;;;;;;;Não informado;;;
BSG3226;.1;Bicicleta;;;;;;;Não informado;;;
CBD1672;.1;Bicicleta;;;;;;;Não informado;;;
TTK4223;.1;Bicicleta;;;;;;;Não informado;;;
PIX7687;.1;Bicicleta;;;;;;;Não informado;;;
SNV2024;.1;Bicicleta;;;;;;;Não informado;;;
ZXZ8260;.1;Bicicleta;;;;;;;Não informado;;;
ZXZ8260;.2;Automóvel;;;;;;;Não informado;;;
WIK4267;.1;Bicicleta;;;;;;;Não informado;;;
PSK6556;.1;Bicicleta;;;;;;;Não informado;;;
NNQ9655;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NNQ9655;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
SLP3800;.1;Camioneta;JEEP COMPASS;2017;CINZA;Misto;Particular;Não Se Aplica;Não informado;Danificado;CRUZANDO O FLUXO;Avenida Rui Barbosa
SLP3800;.2;Bicicleta;;;AZUL;Passageiro;Particular;Não Se Aplica;Não informado;Danificado;CIRCULANDO;RUA JULIO SIQUEIRA
VJO1456;.1;Bicicleta;;;;;;;Não informado;;;
PDX8547;.1;Bicicleta;;;;;;;Não informado;;;
OPP3453;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
OPP3453;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
OZS4923;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
OZS4923;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
TYC8249;.1;Bicicleta;;;;;;;Não informado;;;
SIB8610;.1;Bicicleta;;;;;;;Não informado;;;
PWI1009;.1;Bicicleta;;;;;;;Não informado;;;
EDD8694;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
TCA5903;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
UAA0353;.1;Bicicleta;;;;;;;Não informado;;;
BHX5682;.1;Bicicleta;;;;;;;Não informado;;;
ZWQ4332;.1;Bicicleta;;;;;;;Não informado;;;
ZWQ4332;.2;Automóvel;;;;;;;Não informado;;;
CLS5695;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
PCI6191;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
AWD1340;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
AWD1340;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
IPW5616;.1;Bicicleta;;;;;;;Não informado;;;
IPW5616;.2;Automóvel;;;;;;;Não informado;;;
TSH1853;.1;Bicicleta;;;;;;;Não informado;;;
GRR0728;.1;Bicicleta;;;;;;;Não informado;;;
QWT0567;.1;Bicicleta;;;;;;;Não informado;;;
QWT0567;.2;Automóvel;;;;;;;Não informado;;;
XOB8625;.1;Bicicleta;;;;;;;Não informado;;;
XOB8625;.2;Automóvel;;;;;;;Não informado;;;
GNO0712;.1;Bicicleta;;;;;;;Não informado;;;
YOP1148;.1;Bicicleta;;;;;;;Não informado;;;
YOP1148;.2;Automóvel;;;;;;;Não informado;;;
DVH6235;.1;Bicicleta;;;;;;;Não informado;;;
CCV3968;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
CCV3968;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
GZB3929;.1;Bicicleta;;;;;;;Não informado;;;
YMT3972;.1;Bicicleta;;;;;;;Não informado;;;
MEF7100;.1;Bicicleta;;;;;;;Não informado;;;
CCX1309;.1;Bicicleta;;;;;;;Não informado;;;
CCX1309;.2;Automóvel;;;;;;;Não informado;;;
KLW7127;.1;Bicicleta;;;;;;;Não informado;;;
KLW7127;.2;Automóvel;;;;;;;Não informado;;;
AIQ7987;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
AIQ7987;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
ITZ9755;.1;Bicicleta;;;;;;;Não informado;;;
UAR4861;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
EHZ6221;.1;Bicicleta;;;;;;;Não informado;;;
EHZ6221;.2;Automóvel;;;;;;;Não informado;;;
NLY9430;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NLY9430;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
WQH3435;.1;Bicicleta;;;;;;;Não informado;;;
OPV1932;.1;Bicicleta;;;;;;;Não informado;;;
XWZ6161;.1;Bicicleta;;;;;;;Não informado;;;
XWZ6161;.2;Automóvel;;;;;;;Não informado;;;
JQW0523;.1;Bicicleta;;;;;;;Não informado;;;
UTW6642;.1;Bicicleta;;;;;;;Não informado;;;
UTW6642;.2;Automóvel;;;;;;;Não informado;;;
AXP0874;.1;Bicicleta;;;;;;;Não informado;;;
PEA7165;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
PEA7165;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
FON8874;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
BZI3071;.1;Bicicleta;;;;;;;Não informado;;;
BZI3071;.2;Automóvel;;;;;;;Não informado;;;
CTR8192;.1;Bicicleta;;;;;;;Não informado;;;
RPF9703;.1;Bicicleta;;;;;;;Não informado;;;
FYB7385;.1;Bicicleta;;;;;;;Não informado;;;
FYB7385;.2;Automóvel;;;;;;;Não informado;;;
BXW9999;.1;Bicicleta;;;;;;;Não informado;;;
BXW9999;.2;Automóvel;;;;;;;Não informado;;;
UXQ6462;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
CSQ4449;.1;Bicicleta;;;;;;;Não informado;;;
CSQ4449;.2;Automóvel;;;;;;;Não informado;;;
MUJ6567;.1;Bicicleta;;;;;;;Não informado;;;
DGW7134;.1;Bicicleta;;;;;;;Não informado;;;
OEE0127;.1;Bicicleta;;;;;;;Não informado;;;
SAL8662;.1;Bicicleta;;;;;;;Não informado;;;
KDJ8034;.1;Bicicleta;;;;;;;Não informado;;;
WBQ2217;.1;Bicicleta;;;;;;;Não informado;;;
WBQ2217;.2;Automóvel;;;;;;;Não informado;;;
OFW5955;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
OFW5955;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
MSN1832;.1;Bicicleta;;;;;;;Não informado;;;
MSN1832;.2;Automóvel;;;;;;;Não informado;;;
QRJ5576;.1;Bicicleta;;;;;;;Não informado;;;
UVX9518;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
UVX9518;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
VYW4225;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
VYW4225;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
WLI2042;.1;Bicicleta;;;;;;;Não informado;;;
WLI2042;.2;Automóvel;;;;;;;Não informado;;;
WUA0118;.1;Bicicleta;;;;;;;Não informado;;;
HED3671;.1;Bicicleta;;;;;;;Não informado;;;
LGU0140;.1;Bicicleta;;;;;;;Não informado;;;
UOB6559;.1;Bicicleta;;;;;;;Não informado;;;
IXF8202;.1;Bicicleta;;;;;;;Não informado;;;
WVK3769;.1;Bicicleta;;;;;;;Não informado;;;
XNJ9960;.1;Bicicleta;;;;;;;Não informado;;;
XNJ9960;.2;Automóvel;;;;;;;Não informado;;;
LWT0931;.1;Bicicleta;;;;;;;Não informado;;;
MCT8992;.1;Ônibus;;;;Não informado;Não informado;Não informado;Não informado;Danificado;;Rua Padre Ascenço Gago
MCT8992;.2;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Danificado;;Rua Padre Ascenço Gago
LXK2363;.1;Bicicleta;;;;;;;Não informado;;;
GJC7654;.1;Bicicleta;;;;;;;Não informado;;;
KEI8646;.1;Bicicleta;;;;;;;Não informado;;;
AVM8446;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
SSZ3672;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
SSZ3672;.2;Motocicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
BBF4246;.1;Bicicleta;;;;;;;Não informado;;;
