COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
VPM7237;1;Guilherme Rocha;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XGS9795;1;AV GAL OSORIO DE PAIVA;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
EDG7010;1;Gustavo Sampaio;;;;;;;;;;;;
EDG7010;2;Rua Conselheiro Alves;;;;;;;;;;;;
CWN6958;1;Beira Mar;;;;;;;;;;;;
FGU6091;1;Beira Mar;;;;;;;;;;;;
JJC2008;1;Beira Mar;;;;;;;;;;;;
ABD8408;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
APK1532;1;Rua Tiradentes;;;;;;;;;;;;
TFY9923;1;Bernardo Manuel;;;;;;;;;;;;
DTQ1477;1;Beira Mar;;;;;;;;;;;;
BMI6304;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TIB7193;1;Avenida Contorno Sul Cj  Alto Alegre;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
LHL3568;1;Beira Mar;;;;;;;;;;;;
LHL3568;2;Avenida Rui Barbosa;;;;;;;;;;;;
IGA6534;1;Maestro Lisboa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
YIR1442;1;Doutor Theberge -;;;;;;;;;;;;
DNA2634;1;Avenida Porto Velho;;;;;;;;;;;;
ZTO8796;1;Rua José Arão;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
THJ3186;1;Leste Oeste;;;;;;;;;;;;
BRE1227;1;Antonio Sales;;;;;;;;;;;;
BRE1227;2;Via Expressa;;;;;;;;;;;;
GGU1973;1;Jose Dantas Pereira;;;;;;;;;;;;
FHT0672;1;Avenida Major Assis;;;;;;;;;;;;
GZG6069;1;Antonio Sales N°3525;;;;;;;;;;;;
GZG6069;2;Em Baixo Do Viaduto Engenheiro Santana Junior;;;;;;;;;;;;
PLZ7217;1;Rua  Coronel  João De Oliveira;;;;;;;;;;;;
NDR3555;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NZB8953;1;Diogo Correia;;;;;;;;;;;;
KLI1239;1;Almirante Henrique Saboia -;;;;;;;;;;;;
NYR4444;1;Avenida Ministro José Américo;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AEO0857;1;Presidente Castelo Branco;;;;;;;;;;;;
HAZ5679;1;Capitao Clovis Maia;;;;;;;;;;;;
DZA5302;1;Rua Custódio de Melo;Bom estado;Bom estado;Interseção;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Não há
DZA5302;2;RUA PAULO SETUBAL;Bom estado;Bom estado;Interseção;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Não há
UGM8086;1;Avenida Professor Jose Arthur De Carvalho;;;;;;;;;;;;
BSG3226;1;Avenida Presidente Costa E Silva;;;;;;;;;;;;
CBD1672;1;Pomplho Gomes;;;;;;;;;;;;
TTK4223;1;Arco Verde;;;;;;;;;;;;
PIX7687;1;J Loteamento Paraiso Verde;;;;;;;;;;;;
SNV2024;1;Almirante Jaceguari;;;;;;;;;;;;
ZXZ8260;1;Avenida Jose Jatahy;;;;;;;;;;;;
WIK4267;1;Tenente Lisboa;;;;;;;;;;;;
PSK6556;1;Expedicionario;;;;;;;;;;;;
NNQ9655;1;Julio Siqueira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SLP3800;1;Avenida Rui Barbosa;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Pintura
SLP3800;2;RUA JULIO SIQUEIRA;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Pintura
VJO1456;1;Rua Belem;;;;;;;;;;;;
VJO1456;2;Goiania;;;;;;;;;;;;
PDX8547;1;Rua Antonio Nery -;;;;;;;;;;;;
OPP3453;1;Av Do Contorno- Castelão;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
OZS4923;1;Waldir Diogo;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TYC8249;1;Rua Isaie Boris;;;;;;;;;;;;
SIB8610;1;Jose Bastos;;;;;;;;;;;;
SIB8610;2;Rua Gomes Brasil;;;;;;;;;;;;
PWI1009;1;Presidente Costa E Silva - Upa Jose Walter;;;;;;;;;;;;
EDD8694;1;I;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TCA5903;1;Rua Valparaiso;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
UAA0353;1;Rua Joao Vitorino Ribeiro;;;;;;;;;;;;
BHX5682;1;Senador Fernandes Tavora;;;;;;;;;;;;
ZWQ4332;1;Joao Sorongo;;;;;;;;;;;;
CLS5695;1;Lauro Vieira Chaves - Final Da Rua Da Saudade;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
PCI6191;1;Jose Teixeira Costa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AWD1340;1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IPW5616;1;Tristao Gonçalves;;;;;;;;;;;;
TSH1853;1;Coronel Virgilio Nogueira;;;;;;;;;;;;
GRR0728;1;Manoel Antonio Leite;;;;;;;;;;;;
QWT0567;1;Rua Pereira Filgueiras -;;;;;;;;;;;;
XOB8625;1;Rua Teodoro De Castro;;;;;;;;;;;;
GNO0712;1;Conego De Castro;;;;;;;;;;;;
GNO0712;2;Eduard Perdigao;;;;;;;;;;;;
YOP1148;1;CE 040;;;;;;;;;;;;
DVH6235;1;Guararema;;;;;;;;;;;;
DVH6235;2;Rua Bom Jesus;;;;;;;;;;;;
CCV3968;1;Presidente Costa E Silva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
GZB3929;1;Avenida Benjamim Brasil;;;;;;;;;;;;
YMT3972;1;Domingos Olimpio;;;;;;;;;;;;
YMT3972;2;Rua Barao De Aratanha;;;;;;;;;;;;
MEF7100;1;Ana Gonçalves;;;;;;;;;;;;
CCX1309;1;Rua Eduardo Angelim;;;;;;;;;;;;
KLW7127;1;Osorio De Paiva;;;;;;;;;;;;
